Date,Close,Volume,Stock,pred_sum,Prediction,Confidence_Level,Stop_Loss,Predicted_Change,Predicted_Change_Ratio,Predicted_Next_Date
2021-04-08,12.960000038146973,1244369.0,AUPH,2,-,0.0,0.0,0.0,0.0,2021-04-09
2021-04-08,133.8800048828125,4530017.0,MRNA,3,Up,0.6875266234079996,129.67553472819935,138.17086678530745,0.03205005785778708,2021-04-09
2021-04-08,45.900001525878906,10174937.0,BLNK,2,-,0.0,0.0,0.0,0.0,2021-04-09
2021-04-08,16.270000457763672,8760981.0,APHA,2,-,0.0,0.0,0.0,0.0,2021-04-09
2021-04-08,1.0099999904632568,180824897.0,SNDL,1,-,0.0,0.0,0.0,0.0,2021-04-09
2021-04-08,119.77999877929688,3438834.0,ABT,0,Down,0.6880860726038616,121.92659491847553,119.02121058686254,-0.0063348488910278215,2021-04-09
2021-04-08,106.0999984741211,5771408.0,ABBV,3,Up,0.7112482786178589,103.75501202303181,107.17980057115507,0.010177211239992106,2021-04-09
2021-04-08,329.75,222812.0,ABMD,3,Up,0.7057140469551086,318.7054087743542,334.81122704027973,0.015348679424654283,2021-04-09
2021-04-08,284.4200134277344,1600609.0,ACN,1,-,0.0,0.0,0.0,0.0,2021-04-09
2021-04-08,96.45999908447266,3535206.0,ATVI,2,-,0.0,0.0,0.0,0.0,2021-04-09
2021-04-08,499.8399963378906,2026282.0,ADBE,2,-,0.0,0.0,0.0,0.0,2021-04-09
2021-04-08,83.3499984741211,40831381.0,AMD,1,-,0.0,0.0,0.0,0.0,2021-04-09
2021-04-08,180.5,546235.0,AAP,2,-,0.0,0.0,0.0,0.0,2021-04-09
2021-04-08,27.68000030517578,4565771.0,AES,2,-,0.0,0.0,0.0,0.0,2021-04-09
2021-04-08,51.4900016784668,2663756.0,AFL,1,-,0.0,0.0,0.0,0.0,2021-04-09
2021-04-08,130.69000244140625,899112.0,A,2,-,0.0,0.0,0.0,0.0,2021-04-09
2021-04-08,16.040000915527344,12892355.0,AMRS,1,-,0.0,0.0,0.0,0.0,2021-04-09
2021-04-08,104.38999938964844,1797791.0,AKAM,1,-,0.0,0.0,0.0,0.0,2021-04-09
2021-04-08,72.69000244140625,1278563.0,ALK,3,Up,0.7274705767631531,70.7990135926769,73.94718000818305,0.017295054678120036,2021-04-09
2021-04-08,146.1699981689453,852780.0,ALB,3,Up,0.7318546374638876,142.55710282876439,148.616102021121,0.01673465063157791,2021-04-09
2021-04-08,228.24000549316406,11945964.0,BABA,3,Up,0.7059305111567179,221.7688566076368,230.8786267047452,0.011560730582177199,2021-04-09
2021-04-08,154.47000122070312,1017631.0,ALXN,2,-,0.0,0.0,0.0,0.0,2021-04-09
2021-04-08,575.75,826801.0,ALGN,2,-,0.0,0.0,0.0,0.0,2021-04-09
2021-04-08,130.85000610351562,522238.0,ALLE,0,Down,0.6732161541779835,133.80347092405762,128.40267726170842,-0.018703314693551663,2021-04-09
